row_type,name,mean_rank_ic,positive_ic_ratio,mean_long_short_return,positive_return_ratio,mean_turnover,months,variance_share,linear_share,nonlinear_share,interaction_share,total_share,decomposition_residual_max_abs,linear_rank_ic,nonlinear_rank_ic,interaction_rank_ic
overall_component,total_prediction,0.130266001137297,0.7894736842105263,0.1379308477091544,0.7368421052631579,1.5473684210526315,19,1.0,,,,1.0,1.3877787807814454e-16,,,
overall_component,linear_component,0.0049105958172742,0.4736842105263157,0.0379275136209122,0.5789473684210527,1.168421052631579,19,0.2932248029963666,,,,0.2932248029963666,1.3877787807814454e-16,,,
overall_component,nonlinear_component,0.1276021987742465,0.8421052631578947,0.1600920691747246,0.7894736842105263,1.5157894736842104,19,0.318785421898451,,,,0.318785421898451,1.3877787807814454e-16,,,
overall_component,interaction_component,0.0714652176660137,0.6842105263157895,0.0531549508547121,0.631578947368421,1.7684210526315791,19,0.7340554808788489,,,,0.7340554808788489,1.3877787807814454e-16,,,
overall_component,sector_etf_relative_component,0.016738967595318,0.4736842105263157,0.080757688087833,0.7368421052631579,1.6421052631578952,19,0.0739332966047723,,,,0.0739332966047723,1.3877787807814454e-16,,,
overall_component,sector_etf_regime_component,-0.0262915174189004,0.3684210526315789,-0.069506771102499,0.4210526315789473,1.7789473684210524,19,0.0679874911311365,,,,0.0679874911311365,1.3877787807814454e-16,,,
category,stock_price,0.0846376445314968,0.631578947368421,0.0689735051778917,0.7368421052631579,1.5052631578947369,19,0.4430560177793277,0.046147469683021,0.4367022991298514,0.4047323045277478,0.4430560177793277,1.3877787807814454e-16,0.0099298666835155,0.0908548682630947,0.0650255891830416
category,stock_sector_relative,0.016738967595318,0.4736842105263157,0.080757688087833,0.7368421052631579,1.6421052631578952,19,0.0739332966047723,0.0032318512261859,0.0705129146355677,0.0617402030595307,0.0739332966047723,1.3877787807814454e-16,-0.055891830416377,0.0243457382953181,0.0165817906109812
category,fundamental_valuation,0.0729664497377898,0.7368421052631579,0.0568059934232543,0.7368421052631579,1.6210526315789473,19,0.3680075170329581,0.0633646614986057,0.3263923100362065,0.2845587918313128,0.3680075170329581,1.3877787807814454e-16,-0.0341113287420231,0.0892121058949895,0.0515195551904972
category,sentiment_analyst,0.0609667024704618,0.5263157894736842,0.1161578560856345,0.631578947368421,1.5263157894736843,19,0.5595501371962766,0.0483654994821035,0.5259847860562247,0.3961272965770166,0.5595501371962766,1.3877787807814454e-16,0.0564680609085739,0.0424312883047955,0.0128969482529854
category,global_macro_factor,0.0945296013142098,0.6842105263157895,0.1536721843245571,0.7894736842105263,1.5473684210526315,19,0.3526462957319222,0.0098708764618351,0.3395757141214257,0.3144964594975065,0.3526462957319222,1.3877787807814454e-16,,0.0945296013142098,0.0945296013142098
category,global_sector_regime,-0.0262915174189004,0.3684210526315789,-0.069506771102499,0.4210526315789473,1.7789473684210524,19,0.0679874911311365,0.0029056747053396,0.0695575241722304,0.0692835355309204,0.0679874911311365,1.3877787807814454e-16,,-0.0262915174189004,-0.0262915174189004
