date,validation_rank_ic,retained_configs,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,n_estimators,config_score
2024-07-31,0.078275170740232,2,0.05,15,40,0.8,300,0.08697719363584301
2024-07-31,0.078275170740232,2,0.05,31,40,0.8,300,0.069573147844622
2024-08-30,0.07481018628963601,2,0.03,15,40,0.8,300,0.07574077991300801
2024-08-30,0.07481018628963601,2,0.05,31,40,0.8,300,0.07387959266626501
2024-09-30,0.035770352312988,2,0.03,31,40,0.8,300,0.039260056196391
2024-09-30,0.035770352312988,2,0.05,31,40,0.8,300,0.032280648429584
2024-10-31,0.09310563948058401,2,0.05,15,40,0.8,300,0.10090576298638201
2024-10-31,0.09310563948058401,2,0.03,15,40,0.8,300,0.085305515974786
2024-11-29,0.13077002858161102,2,0.05,15,40,0.8,300,0.137334521900594
2024-11-29,0.13077002858161102,2,0.03,15,40,0.8,300,0.12420553526262901
2024-12-31,0.076566545132055,2,0.03,31,20,0.8,300,0.082137317974873
2024-12-31,0.076566545132055,2,0.05,31,40,0.8,300,0.07099577228923601
2025-01-31,0.013947462194868001,2,0.05,31,40,0.8,300,0.016572297003907003
2025-01-31,0.013947462194868001,2,0.05,15,20,0.8,300,0.011322627385829
2025-02-28,0.047265838027246,2,0.03,15,40,0.8,300,0.051419302402653
2025-02-28,0.047265838027246,2,0.03,15,20,0.8,300,0.04311237365184
2025-03-31,0.009455819002397,2,0.03,31,20,0.8,300,0.012643225299538001
2025-03-31,0.009455819002397,2,0.03,15,20,0.8,300,0.006268412705255
2025-04-30,0.041419717681034,2,0.05,31,40,0.8,300,0.043415955129844
2025-04-30,0.041419717681034,2,0.05,31,20,0.8,300,0.039423480232224
2025-05-30,0.075970045696354,2,0.03,31,20,0.8,300,0.08952083962842501
2025-05-30,0.075970045696354,2,0.03,15,20,0.8,300,0.06241925176428301
2025-06-30,0.071084235590628,2,0.03,31,40,0.8,300,0.072567243733756
2025-06-30,0.071084235590628,2,0.05,31,40,0.8,300,0.06960122744750001
2025-07-31,0.041542677940741006,2,0.05,31,20,0.8,300,0.042472078655699005
2025-07-31,0.041542677940741006,2,0.03,31,20,0.8,300,0.04061327722578301
2025-08-29,0.037135392593670005,2,0.05,31,20,0.8,300,0.046652705392980005
2025-08-29,0.037135392593670005,2,0.03,15,20,0.8,300,0.027618079794359002
2025-09-30,0.053134646365484005,2,0.05,31,40,0.8,300,0.062024481300383
2025-09-30,0.053134646365484005,2,0.05,15,20,0.8,300,0.044244811430585
2025-10-31,0.076616578962759,2,0.05,31,20,0.8,300,0.08678616969451901
2025-10-31,0.076616578962759,2,0.03,31,40,0.8,300,0.06644698823100001
2025-11-28,-0.0030207032396670002,2,0.03,15,20,0.8,300,0.0054323152017510005
2025-11-28,-0.0030207032396670002,2,0.05,15,40,0.8,300,-0.011473721681086001
2025-12-31,0.009815491784132001,2,0.03,31,20,0.8,300,0.028619300819310002
2025-12-31,0.009815491784132001,2,0.03,15,20,0.8,300,-0.008988317251044
2026-01-30,0.069526166340726,2,0.05,31,40,0.8,300,0.073146344199104
2026-01-30,0.069526166340726,2,0.03,31,20,0.8,300,0.065905988482349
