date,stock_price_effect_mean,stock_sector_relative_effect_mean,fundamental_effect_mean,sentiment_effect_mean,macro_effect_mean,sector_regime_effect_mean
2024-07-31,0.021776841579225093,0.006696734888346322,0.019772868231971902,0.0016277467209539192,-0.014175699418507808,-0.0019158449883334883
2024-08-30,-0.013794367680083781,0.0033437154263449838,0.019775626346209503,-0.004629021385840085,-0.033162216012923865,-0.0006119734203671602
2024-09-30,0.03526774997002713,0.012633262654919576,-0.013385172710201721,0.004260858572232632,-0.012045503630736181,0.002626178445482592
2024-10-31,0.011897323026644925,-0.0027423792617336357,-0.004898696267454831,-0.00737534422011138,-0.011067670530887565,0.003681089333704998
2024-11-29,0.004067297963967121,-0.005825470990473575,-0.0064589562035852,-0.016344989800464844,-0.023945356535637907,0.000507174877444362
2024-12-31,-0.0028218003971877837,-0.0014084345518649438,-0.0133915043247153,-0.019425023389988347,-0.039606112923245035,0.0003971481248209041
2025-01-31,-0.011347875382708001,-0.0022421556992380997,-0.001378954423281387,-0.018426653260944975,-0.003600601034636184,0.0032510897171549057
2025-02-28,0.0003010363778183054,-0.0009029748505987941,0.007732340880611176,-0.00014569078259686478,-0.012888381797814558,-0.0049960852218080744
2025-03-31,-0.0022547883649618643,0.00026411441053745584,0.007676735686393226,0.009079593539986209,-0.010904313405300198,0.0016873542994663424
2025-04-30,0.016424084221543442,0.0026492045951822265,0.00896113736122067,0.0062254108328690435,-0.011351198106756295,-0.007810168005513565
2025-05-30,-0.015961858801472134,-0.0009064275658974581,-0.0020213594486299946,-0.017310155500563463,-0.004149017414317986,0.0005866055931253801
2025-06-30,0.015470798106409788,-0.004037854106731091,-0.00010667860027280652,-0.017138520971331454,-0.01332099447539415,0.0003445941061520917
2025-07-31,0.012706031462160141,-0.0006493803506453426,0.012846818104313686,-0.007988930531204724,-0.00898268686566433,0.008717591982679686
2025-08-29,0.005405665595568035,0.0034514314904998265,0.011625950610687587,-0.017315383709216904,0.0056292216229610935,-0.009640073459594096
2025-09-30,0.00014482823037468737,0.0010263319222539192,0.004403549738742271,-0.007724199804905121,-0.01787402828291984,0.0029570228485214954
2025-10-31,0.008677768899425864,-0.005456212905128221,0.021051681913932484,-0.012189254259345134,-0.000950528899740203,0.006896398998849065
2025-11-28,0.0038228880401137712,-0.001465008592583806,0.009991876492203657,-0.02123780856256569,-0.006586576082608748,0.0057825000511747045
2025-12-31,-0.0027196793929203642,-0.004455024603260316,0.009293828517233826,0.010691514619753572,-0.012226773358266765,0.0005330102032416851
2026-01-30,-0.02149706604401671,-0.008230060956036603,0.041573997866950485,0.009605896125699082,-0.05046237856902365,0.0022847225872334996
